GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,474854,2203895,google.com,com,1,1,474429,2198754
2,2,facebook.com,com,470361,2302198,facebook.com,com,2,2,470051,2297191
3,3,youtube.com,com,423755,1888927,youtube.com,com,3,3,423466,1883792
4,4,twitter.com,com,411594,1809291,twitter.com,com,4,4,411360,1805362
5,5,instagram.com,com,367751,1620765,instagram.com,com,5,5,367558,1617082
6,6,linkedin.com,com,339109,1337636,linkedin.com,com,6,6,338689,1333801
7,7,apple.com,com,266823,827149,apple.com,com,7,7,266510,823015
8,8,microsoft.com,com,264138,762722,microsoft.com,com,8,8,263869,759854
9,9,googletagmanager.com,com,254815,868563,googletagmanager.com,com,9,9,254933,865874
10,1,wikipedia.org,org,250548,853472,wikipedia.org,org,10,1,250266,850405
11,2,wordpress.org,org,233494,864155,wordpress.org,org,11,2,233688,864008
12,1,youtu.be,be,223635,718622,youtu.be,be,12,1,223320,714569
13,3,en.wikipedia.org,org,207944,633940,en.wikipedia.org,org,13,3,207721,632046
14,10,play.google.com,com,203197,557575,play.google.com,com,16,12,202843,554390
15,11,github.com,com,203016,495593,github.com,com,15,11,202905,494733
16,12,pinterest.com,com,200237,741380,pinterest.com,com,14,10,204172,754579
17,1,goo.gl,gl,192701,623263,goo.gl,gl,17,1,192472,621077
18,13,maps.google.com,com,190388,648503,maps.google.com,com,18,13,190181,647246
19,14,vimeo.com,com,190013,627701,vimeo.com,com,19,14,189627,624442
20,15,docs.google.com,com,173860,494472,docs.google.com,com,20,15,173609,492115
21,1,bit.ly,ly,169575,485834,bit.ly,ly,21,1,169457,483402
22,16,plus.google.com,com,166282,545086,plus.google.com,com,22,16,166182,544202
23,17,adobe.com,com,164796,439751,adobe.com,com,23,17,164396,437066
24,18,wordpress.com,com,162000,486126,wordpress.com,com,24,18,161795,483954
25,19,amazon.com,com,158782,451904,amazon.com,com,25,19,158604,450156
26,20,player.vimeo.com,com,154948,480603,player.vimeo.com,com,26,20,154657,478230
27,21,apps.apple.com,com,154629,371277,apps.apple.com,com,27,21,154460,368642
28,22,blogspot.com,com,153721,453334,blogspot.com,com,28,22,153487,451428
29,4,mozilla.org,org,149991,408659,mozilla.org,org,29,4,150493,408131
30,23,whatsapp.com,com,145938,497184,whatsapp.com,com,30,23,145970,496911
31,24,drive.google.com,com,144968,388120,drive.google.com,com,31,24,144932,386897
32,25,itunes.apple.com,com,141872,339841,itunes.apple.com,com,32,25,141577,337024
33,1,europa.eu,eu,131670,421892,europa.eu,eu,33,1,131376,418343
34,26,macromedia.com,com,130987,339085,macromedia.com,com,34,26,130801,338190
35,27,api.whatsapp.com,com,129431,433845,api.whatsapp.com,com,35,27,129490,433822
36,28,yahoo.com,com,125932,314661,yahoo.com,com,36,28,125862,313250
37,29,tumblr.com,com,121246,366936,tumblr.com,com,37,29,121129,365929
38,30,policies.google.com,com,120554,395374,policies.google.com,com,38,30,120549,393599
39,31,reddit.com,com,120490,350987,reddit.com,com,39,31,120547,350218
40,32,download.macromedia.com,com,113143,285297,download.macromedia.com,com,41,32,113000,284641
